Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2018,12,Female,21,Right-Handed,5.1,6.5,57,2,Car,15,5,3,Soccer,NA,3,5,NA,NA,NA,7,Right foot,NA,NA,Same length,March,Winter,No,NA,Seafood,Water,Art,4,6,6,Yes - dial-up connection,Cell phone,5,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very little,Some college,Rap/Hip hop,Super strength,Rich,NA,"Arts, culture, sports"
USA,NH,2018,12,Male,18,Right-Handed,178,24,172,1,Car,8,0.39,42,Athletics,503,572,0,305,326,326,25,Left foot,101,107,Ring finger,February,Summer,No,No,Poultry,Juice,Mathematics and statistics,6,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,40,5,1,10,10,10,20,2,10,10,20,18,10,Some,Graduate degree,Rap/Hip hop,Super strength,Happy,Relative,Education/Youth development
USA,MA,2018,12,Male,17,Right-Handed,188,26,188,1,Car,5,0.328,46,Football (American),850,850,800,900,900,1000,26,Same length,76,74,Index finger,August,Summer,Yes,No,No favorite,Water,Physical education,8,9,2,Yes - other,Text messaging,100,100,6,1,3,0,15,4,1,4,1,1,10,1,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Other,Religious
USA,TX,2018,12,Male,17,Right-Handed,177.8,28.6,170.2,1,Car,13,0.285,77,Basketball,850,850,1000,1000,503,770,28.6,Same length,76.2,77.8,Ring finger,January,Winter,Yes,No,Meat,Sports drink,Science,7,8.5,5,Yes - broadband connection,Text messaging,250,300,7,1,12,9,8,5,18,3,18,12,0,18,A lot,Graduate degree,Pop,Super strength,Happy,Sports person,Education/Youth development
USA,WI,2018,12,Male,17,Right-Handed,177,NA,177,1,Car,2,0.31,28,Tennis,870,813,780,950,1000,1000,NA,NA,85,85,Same length,December,Fall,Yes,No,Pizza/Pasta,Soft drink (non-caffeinated),Science,7,8,4,Yes - broadband connection,Text messaging,40,40,6,1,10,4,5,15,20,3,25,2,10,5,Some,Graduate degree,Techno/Electronic,Freeze time,Happy,Relative,Environment
USA,NJ,2018,12,Male,17,Right-Handed,172.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,CA,2018,12,Male,17,Right-Handed,176.8,25.8,170.6,2,Bus,80,0.476,55,Athletics,877,840,754,663,412,701,24.5,Right foot,70.5,58.7,Ring finger,September,Summer,No,No,Poultry,Other,NA,10,7,2,Yes - broadband connection,Text messaging,7,23,7,0,3,2,3,0,7,3,9,0,5,0,None,Some college,Rap/Hip hop,Invisibility,Healthy,Other,"Wildlife, animals"
USA,CA,2018,12,Male,17,Right-Handed,172.7,24.76,170.1,2,Walk,60,0.605,32,Athletics,1000,700,500,800,1000,1000,24.75,Same length,76,76,Same length,January,Winter,Yes,No,No favorite,Water,Science,6,9,7,Yes - broadband connection,Text messaging,200,250,0,0,10,0,7,12,2,9,8,2,0,0,A lot,Graduate degree,Classical,Freeze time,Rich,Coach or club leader,Environment
USA,TX,2018,12,Female,17,Left-Handed,149.9,NA,NA,1,Car,15,0.668,83,None,1000,1000,1000,100,20,20,NA,Same length,NA,NA,Ring finger,September,Fall,No,No,Meat,Water,Science,NA,NA,NA,Yes - broadband connection,Text messaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,High school,Rap/Hip hop,Invisibility,Happy,Relative,International aid
USA,CA,2018,12,Male,17,Right-Handed,2.7,23.64,165.1,2,Car,20,1000,32,Football (American),500,500,700,400,1000,1000,23.64,Right foot,2.48,23.64,Index finger,June,Summer,No,No,Soups,Water,History,10,7,3,Yes - dial-up connection,Text messaging,300,300,4,0,2,7,5,9,9,1,9,0,8,7,Very little,High school,Rap/Hip hop,Telepathy,Rich,Sports person,Health
