Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2018,12,Male,17,Right-Handed,170,25,164,2,Car,5,0.327,29,Table Tennis,809,814,536,536,373,801,25,Same length,99.8,99.8,Same length,May,Winter,No,No,Pizza/Pasta,Water,Mathematics and statistics,5,12,3,Yes - other,Cell phone,9,10,6,1,4,3,0,3,10,3,5,0,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Business person,Health
USA,FL,2018,12,Female,16,Right-Handed,173,25,167,1,Car,5,0.287,34,Other,1000,800,900,900,400,800,25,Same length,80,85,Ring finger,March,Fall,No,No,Pizza/Pasta,Water,Art,6,10,4,Yes - other,Text messaging,83,85,3,1,6,9,6,8,20,8,2,2,15,4,Some,Graduate degree,Pop,Fly,Happy,Doctor or nurse,"Wildlife, animals"
USA,IN,2018,12,Female,16,Right-Handed,168,25,160,1,Car,16,0.47,40,Basketball,267,604,267,642,620,257,25,Left foot,91,88,Index finger,February,Winter,No,No,No favorite,Milk,Mathematics and statistics,9,6,5,Yes - other,Cell phone,49,53,12,6,5,11,0,0,10,1,2,7,0,1,Some,Graduate degree,Country,Telepathy,Happy,Relative,"Arts, culture, sports"
USA,TX,2018,12,Female,17,Right-Handed,160,23.8,1.2,2,Car,15,1.229,56,Baseball/Softball,6,5,1,4,3,2,23.8,Same length,110,109,Index finger,December,Summer,No,No,Pizza/Pasta,Juice,English,6,6,3,Yes - broadband connection,Text messaging,30,80,40,2,35,2,5,0,168,90,90,30,30,5,A lot,Graduate degree,Other,Invisibility,Happy,Relative,Health
USA,CA,2018,12,Female,17,Right-Handed,161,28,168,2,Walk,5,0.142,36,Athletics,1000,615,503,914,0,1000,28,Same length,85,90,Ring finger,June,Fall,No,No,Breads/Sandwiches,Water,Science,7,5,4,Yes - broadband connection,In person,70,70,35,28,56,0,21,30,49,42,28,0,0,35,A lot,Graduate degree,Pop,Freeze time,Healthy,Relative,International aid
USA,IA,2018,12,Male,18,Right-Handed,175,26,173,1,Car,8,0.303,32,Dancing,733,428,250,400,834,1000,26,Left foot,98,111,Ring finger,December,Summer,No,No,Poultry,Water,Music,5,9,5,Yes - other,Text messaging,42,45,4,4,2,3,4,35,35,3,37,0,32,2,A lot,Undergraduate degree,Country,Super strength,Happy,Other,"Arts, culture, sports"
USA,CA,2018,12,Male,17,Right-Handed,179,26.5,181,1,Car,10,0.345,NA,Other,882,760,818,818,540,662,26,Right foot,87,90,Index finger,March,Fall,No,No,Pizza/Pasta,Water,History,8,11,5,Yes - broadband connection,Text messaging,12,12,12,4,9,3,4,3,6,2,10,9,0,2,Very little,Undergraduate degree,Other,Telepathy,Happy,Politician,International aid
USA,CA,2018,12,Female,17,Right-Handed,152.4,20.5,149,1,Car,20,0.378,36,Dancing,615,900,725,675,500,475,20.5,Same length,6.2,6.7,Ring finger,June,Fall,Yes,No,Seafood,Tea,Art,7,9,6,Yes - other,In person,8,14,35,3,40,14,10,6,3,2,8,20,0,12,A lot,Graduate degree,Other,Freeze time,Happy,Relative,"Wildlife, animals"
USA,NY,2018,12,Female,17,Right-Handed,NA,24,170,2,Car,5,0.388,59,Dancing,176,551,551,444,791,786,20,Right foot,2.6,2.2,Ring finger,June,Summer,No,No,Pizza/Pasta,Water,Languages,7,9,4,Yes - broadband connection,Text messaging,100,98,12,2,24,14,8,0,12,12,10,4,0,3,A lot,Graduate degree,Pop,Freeze time,Happy,Coach or club leader,"Arts, culture, sports"
USA,TX,2018,12,Female,15,Right-Handed,165,NA,NA,2,Car,5,0.498,75,Swimming,100,250,1000,1000,500,1000,NA,NA,NA,NA,Ring finger,January,Spring,Yes,NA,Pizza/Pasta,Water,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,CA,2018,12,Female,17,Right-Handed,160,24,148,2,Car,55,0.843,46,Dancing,900,550,600,550,900,950,25,Left foot,73,72,Index finger,January,Fall,No,No,Meat,Soft drink (caffeinated),History,6,9,5,Yes - broadband connection,Internet chat or instant messaging,11,5,10,0,30,25,0,0,15,1,15,15,0,3,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Education/Youth development
USA,VA,2018,12,Male,17,Right-Handed,180,30,183,1,Bus,20,0.516,47,Basketball,513,508,598,568,687,1000,26,Right foot,13,11,Index finger,April,Summer,No,No,Breads/Sandwiches,Milk,Music,7,10,3,Yes - broadband connection,Text messaging,32,63,4,3,7,7,5,4,2,3,15,0,13,1,Some,Graduate degree,Rap/Hip hop,Freeze time,Healthy,Sports person,Education/Youth development
USA,DE,2018,12,Male,18,Left-Handed,180.3,30,75,1,Car,24,0.38,38,Basketball,900,700,600,900,700,1000,30,Same length,90,80,Index finger,October,Summer,Yes,No,Salads,Water,Social studies,8,9,3,Yes - broadband connection,Text messaging,25,20,35,5,40,6,1,50,80,80,100,70,20,5,None,Graduate degree,Rap/Hip hop,Telepathy,Rich,Sports person,"Arts, culture, sports"
USA,DE,2018,12,Male,18,Ambidextrous,182.2,27,69.5,1,Car,40,0.478,59,Baseball/Softball,500,600,400,800,650,800,37,Same length,7,7,Same length,September,Spring,No,No,Meat,Water,Mathematics and statistics,9,10,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,30,8,1,10,3,4,4,7,3,3,5,0,2,Some,Graduate degree,Country,Telepathy,Rich,Other,Education/Youth development
USA,NE,2018,12,Male,17,Right-Handed,187.9,35.56,187.9,1,Bus,30,0.506,55,Basketball,759,198,230,492,765,824,34,Same length,101.6,101.6,Same length,January,Winter,Yes,No,Meat,Sports drink,English,7,5,3,Yes - broadband connection,Internet chat or instant messaging,200,200,100,2,6,70,70,2,140,130,100,4,0,10,Very little,Graduate degree,Rap/Hip hop,Invisibility,Rich,Relative,Health
USA,IA,2018,12,Male,17,Right-Handed,189,27,185,1,Car,10,0.449,35,Golf,150,500,50,650,400,750,27,Same length,95,98,Ring finger,September,Fall,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,9,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,1,10,0,2,20,2,30,7,0,2,2,0,0,Very little,Undergraduate degree,Country,Telepathy,Rich,Relative,Health
USA,WI,2018,12,Female,18,Right-Handed,163,26,160,1,Car,4,0.525,55,Soccer,NA,NA,NA,NA,NA,NA,NA,NA,8,6.5,Index finger,February,Summer,No,No,Meat,Water,Physical education,8,10,6,Yes - broadband connection,In person,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,NE,2018,12,Male,18,Right-Handed,172.7,28,182,1,Car,4,0.28,58,Athletics,500,300,1000,300,400,800,27,Right foot,73,80,Ring finger,September,Spring,Yes,No,Pizza/Pasta,Milk,Physical education,7,7,4,Yes - broadband connection,Internet chat or instant messaging,150,140,16,1,21,5,12,1,10,3,5,4,8,1,Some,Graduate degree,Rap/Hip hop,Invisibility,Healthy,Coach or club leader,Education/Youth development
USA,VA,2018,12,Male,17,Right-Handed,175,25.4,65,1,Car,5,0.552,63,Basketball,500,800,200,600,900,1000,25.4,Same length,90,65,Ring finger,January,Summer,No,No,Breads/Sandwiches,Water,Mathematics and statistics,8,10,3,Yes - broadband connection,Cell phone,20,25,10,5,12,6,20,0,15,8,10,60,0,0,Some,Graduate degree,Rap/Hip hop,Invisibility,Famous,Sports person,Religious
USA,FL,2018,12,Male,17,Right-Handed,186,28,186,2,Car,20,0.77,43,Bowling,800,700,1000,900,300,700,28,Same length,70,75,Ring finger,July,Summer,Yes,No,Meat,Milk,History,7,10,4,Yes - broadband connection,Text messaging,10,15,3,0,3,8,2,3,4,1,2,1,0,1,A lot,Other,Other,Invisibility,Happy,Friend,Health
USA,NJ,2018,12,Male,18,Ambidextrous,175,280,170,3,Car,15,0.576,34,Basketball,1000,230,610,642,1000,1000,280,Same length,7,8,Index finger,August,Summer,Yes,No,Meat,Milk,Mathematics and statistics,4,3,3,No internet connection,Cell phone,42,47,7,12,9,6,1,10,2,8,11,0,3,5,Very little,High school,Other,Telepathy,Famous,Friend,Education/Youth development
USA,CA,2018,12,Female,16,Right-Handed,145,22,58,2,Bus,10,0.52,47,Dancing,1000,800,900,500,400,550,22,Same length,70,80,Ring finger,September,Winter,No,No,Poultry,Water,Music,7,9,4,Yes - broadband connection,Text messaging,88,97,4,1,6,10,0,0,5,20,20,0,0,3,A lot,Graduate degree,Pop,Fly,Happy,Relative,International aid
USA,WI,2018,12,Male,17,Right-Handed,190,NA,190,1,Car,4,0.37,41,Basketball,0,0,0,0,1000,1000,NA,Same length,NA,NA,NA,February,Fall,No,No,Pizza/Pasta,Soft drink (caffeinated),Computers and technology,4,6,3,Yes - broadband connection,Internet chat or instant messaging,10,20,15,0.5,5,6,10,12,12,10,12,0,0,2,None,Undergraduate degree,Rap/Hip hop,Invisibility,Rich,Sports person,"Wildlife, animals"
USA,PA,2018,12,Male,17,Right-Handed,175,27,185,1,Bus,20,0.354,62,Athletics,750,900,600,800,500,500,26,Right foot,78,75,Index finger,December,Fall,No,No,Meat,Coffee,Science,7,8,5,Yes - broadband connection,In person,20,25,6,1,2,2,10,6,4,2,6,4,0,2,Very little,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Health
USA,FL,2018,12,Female,16,Left-Handed,160,17,160,2,Car,20,0.685,49,Athletics,1000,1000,1000,1000,700,800,16,Right foot,5.1,5.4,Ring finger,October,Fall,No,No,Meat,Water,Science,7,10,3,Yes - other,Text messaging,60,67,5,3,9,6,1,2,1,3,1,3,15,6,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Actor,"Wildlife, animals"
USA,CA,2018,12,Female,17,Right-Handed,161,23,169,1,Car,4,0.611,48,Dancing,1000,1000,1000,900,600,700,23,Same length,95,90,Ring finger,April,Winter,No,No,Fruit,Juice,English,6,8,5,Yes - other,Text messaging,50,80,24,12,12,9,80,2,10,10,10,10,0,5,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Coach or club leader,International aid
USA,IA,2018,12,Female,18,Left-Handed,173,24,173,2,Car,8,0.39,40,Other,0,75,139,251,503,791,24,Same length,95,105,NA,November,Fall,No,No,Desserts,Water,Art,7,8,4,Yes - other,Text messaging,3,17,5,1,10,8,2,0,4,1,7,5,17,2,A lot,Graduate degree,Gospel,Telepathy,Happy,Relative,Religious
USA,OK,2018,12,Female,17,Right-Handed,160.2,23,155,1,Car,10,0.673,45,Other,1000,700,600,700,900,1000,23,Right foot,60,60,Same length,October,Winter,Yes,No,Pizza/Pasta,Soft drink (caffeinated),History,5,5,6,Yes - broadband connection,Text messaging,50,50,0,0,5,6,17,10,5,12,12,0,0,1,A lot,Undergraduate degree,Other,Super strength,Happy,Actor,"Arts, culture, sports"
USA,PA,2018,12,Female,17,Right-Handed,154,23,138,1,Car,15,0.481,36,None,1000,1000,700,500,700,1000,22,Right foot,77,74,Index finger,December,Summer,No,Yes,Pizza/Pasta,Coffee,Other,6,7,4,Yes - broadband connection,Text messaging,100,300,20,1,5,30,5,0,8,100,112,0,9,2,Very little,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Relative,Health
USA,PA,2018,12,Male,17,Right-Handed,172.7,23.5,167.6,1,Bus,7,0.378,48,Other,225,225,802,695,802,1000,23.5,Same length,6.7,7.5,Ring finger,April,Winter,No,No,Meat,Water,History,7,10,4,Yes - broadband connection,In person,100,100,18,2,1,1,12,5,10,20,10,14,14,2,Some,Some college,Country,Freeze time,Happy,Relative,Health
USA,GA,2018,12,Male,18,Right-Handed,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,A lot,Some college,Rap/Hip hop,Invisibility,Happy,Sports person,Environment
USA,IA,2018,12,Male,17,Right-Handed,177.8,30,78,1,Car,5,0.335,36,Football (American),0,0,0,0,1000,1000,28,Same length,70,80,Ring finger,December,Winter,Yes,No,Meat,Other,Other,5,6,5,Yes - broadband connection,In person,150,10000,100,100,100,100,110,100,100,100,1001,110,110,100,None,Some college,Heavy metal,Invisibility,Famous,Coach or club leader,Health
USA,NE,2018,12,Female,17,Left-Handed,NA,NA,NA,1,Car,10,0.388,31,Other,706,497,850,583,300,250,NA,Left foot,NA,NA,Ring finger,November,Fall,No,No,Poultry,Milk,Art,7,10,4,Yes - broadband connection,In person,40,45,15,1,6,21,1,15,14,30,21,2,0,3,A lot,Graduate degree,Other,Freeze time,Happy,Musician or singer,Religious
USA,MA,2018,12,Female,17,Right-Handed,157.4,NA,165,1,Car,20,0.53,52,Swimming,508,733,166,53,1000,1000,23,Same length,101.6,101.6,Same length,December,Fall,No,No,No favorite,Water,English,6,10,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",30,50,3,2,3,7,0,0,14,3,3,2,25,2,A lot,Graduate degree,Country,Telepathy,Happy,Teacher,Education/Youth development
USA,CA,2018,12,Female,18,Right-Handed,149.8,12.7,124.4,1,Car,10,0.484,53,Other,695,791,866,925,460,460,12.7,Same length,63.5,66.04,Ring finger,December,Summer,No,No,Pizza/Pasta,Water,History,7,8,7,Yes - broadband connection,Text messaging,30,50,4,1,1,4,1,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,OH,2018,12,Male,18,Right-Handed,187,27.1,186,2,Walk,21,0.623,54,Basketball,267,149,432,285,100,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,NJ,2018,12,Female,18,Right-Handed,160,25,82,2,Bus,45,0.404,46,Walking/Hiking,1000,NA,NA,NA,0,NA,80,Same length,80,80,Same length,August,Spring,NA,No,Desserts,Water,Music,7,12,6,Yes - other,Cell phone,8,8,20,8,5,6,0,0,24,24,4,0,50,2,Some,High school,Rap/Hip hop,Telepathy,Rich,Business person,Health
USA,NH,2018,12,Male,18,Ambidextrous,170,33,170,2,Other,5,0.3,32,Walking/Hiking,0,0,0,500,1000,1000,34,Left foot,85,81,Ring finger,April,Winter,Yes,No,No favorite,Soft drink (caffeinated),History,6,12,4,Yes - broadband connection,Internet chat or instant messaging,50,50,20,0.5,0,3,5,50,1,1,50,5,10,20,Very little,Undergraduate degree,Heavy metal,Invisibility,Rich,Teacher,Other
USA,FL,2018,12,Male,17,Right-Handed,198,27,198,1,Car,15,0.294,69,Athletics,900,800,1000,1000,950,975,27,Same length,96,106,Ring finger,October,Fall,No,No,Pizza/Pasta,Water,History,6.5,8,5,Yes - broadband connection,Internet chat or instant messaging,8,12,12,0,20,30,12,35,30,15,30,6,0,2,A lot,Some college,Rap/Hip hop,Super strength,Famous,Coach or club leader,Environment
USA,PA,2018,12,Female,17,Right-Handed,170,22.5,164,1,Car,7,0.309,51,Dancing,800,600,600,600,900,1000,23,Left foot,85,90,Ring finger,January,Fall,No,No,Pizza/Pasta,Water,Science,5,8,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",32,36,15,1,14,12,9,0,7,7,7,5,0,2,Some,Graduate degree,Other,Freeze time,Happy,Relative,International aid
USA,ID,2018,12,Male,22,Left-Handed,175,26,157,3,Car,7,0.379,64,Other,25,25,65,75,90,75,27,Left foot,80,85,Ring finger,February,Spring,Yes,No,Meat,Water,Mathematics and statistics,6,9,2,Yes - broadband connection,In person,20,20,2,1,15,3,7,0,6,3,8,2,25,4,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Religious
USA,OK,2018,12,Male,17,Right-Handed,175,28,NA,1,Car,5,0.374,44,Basketball,500,500,500,500,500,500,28,Same length,110,110,Ring finger,February,Summer,No,No,Meat,Water,Physical education,5,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",200,200,5,7,15,4,30,8,20,20,35,12,5,6,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Sports person,"Arts, culture, sports"
USA,TN,2018,12,Male,17,Right-Handed,195,25.5,84,1,Car,10,0.362,32,Football (American),920,915,872,882,228,513,25.5,Same length,75,85,Ring finger,May,Summer,Yes,No,Seafood,Water,Physical education,4,12,4,Yes - broadband connection,Internet chat or instant messaging,2,4,12,5,5,6,3,10,20,20,20,1,0,2.5,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,"Wildlife, animals"
USA,MA,2018,12,Female,17,Right-Handed,63.5,108,NA,1,Bus,30,1.12,40,Dancing,1000,1000,1000,1000,200,20,108,Same length,NA,NA,Ring finger,March,Winter,Yes,No,No favorite,Soft drink (non-caffeinated),English,7,9,5,Yes - other,Text messaging,10,20,5,10,5,8,1,4,60,30,100,90,0,3,Some,High school,Pop,Invisibility,Rich,Community leader or elder,International aid
USA,NC,2018,12,Female,17,Right-Handed,172.7,22.86,160,1,Bus,7,0.358,40,Tennis,1000,615,904,947,134,241,24.13,Left foot,67.95,69.85,Ring finger,February,Fall,No,No,Rice/Noodle dishes,Water,Science,8,10,5,Yes - broadband connection,Text messaging,30,20,2,3,14,3,8,0,3,6,16,2,2,3,Some,Graduate degree,Pop,Telepathy,Happy,Friend,International aid
USA,CA,2018,12,Male,17,Left-Handed,170,24.5,168,2,Car,5,0.384,34,Table Tennis,674,626,642,540,674,647,24.5,Right foot,75,70,Ring finger,May,Fall,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,10,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",15,10,2,0,1,2,1,2,2,2,3,0,0,1,Very little,Graduate degree,Rap/Hip hop,Invisibility,Rich,Musician or singer,"Wildlife, animals"
USA,TX,2018,12,Female,17,Right-Handed,176,24,110,2,Car,11,0.25,35,Basketball,166,166,166,166,166,166,24,Same length,70,70,Same length,March,Spring,Yes,No,Pizza/Pasta,Water,Science,8,6,6,NA,NA,60,60,24,2,6,4,2,6,30,2,30,10,15,4,Some,Graduate degree,Pop,Freeze time,Rich,Actor,"Wildlife, animals"
USA,SC,2018,12,Female,17,Right-Handed,162,22,152,1,Car,10,0.552,37,Soccer,150,733,358,743,1000,289,22,Same length,60,70,Ring finger,June,Summer,No,No,Seafood,Sports drink,English,10,12,2,Yes - other,In person,2,7,6,1,10,5,3,0,5,1,10,2,25,0,A lot,Graduate degree,Pop,Fly,Happy,Relative,Health
USA,MN,2018,12,Male,16,Right-Handed,178,27,179,1,Walk,1,0.396,51,Soccer,600,500,300,700,1000,1000,27,Same length,90,90,Ring finger,June,Fall,Yes,No,Meat,Water,Geography,7,10,5,Yes - broadband connection,In person,2,3,2,1,5,0,10,6,31,0.5,46,0,0,3,A lot,Undergraduate degree,Other,Freeze time,Happy,Religious figure,Other
USA,CA,2018,12,Male,17,Right-Handed,154.9,182.8,65,2,Skateboard/Scooter/Rollerblade,12,1.2,10,Hockey (Ice),100,100,100,100,10,10,10,Left foot,65,70,Same length,March,Winter,No,No,Soups,Soft drink (non-caffeinated),Art,5,5,4,Yes - broadband connection,Text messaging,5,10,2,1,3,0,0,10,10,10,10,10,0,0,A lot,High school,Classical,Fly,Rich,Friend,"Arts, culture, sports"
USA,CA,2018,12,Female,18,Right-Handed,154,21.2,156,2,Car,5,0.546,44,Swimming,1000,1000,1000,1000,1000,1000,21,Right foot,5.8,6.7,Ring finger,December,Summer,No,No,Desserts,Water,Mathematics and statistics,8,9,6,Yes - broadband connection,Text messaging,100,100,30,2,10,10,5,0,7,7,15,10,0,4,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Doctor or nurse,Health
USA,OH,2018,12,Female,17,Right-Handed,169,23,164,1,Car,25,0.394,40,Walking/Hiking,872,588,342,422,572,642,23,Same length,72,80,Ring finger,June,Spring,No,No,Desserts,Water,Social studies,6,8,4,Yes - broadband connection,Text messaging,100,80,4,0,28,2,0,0,14,7,110,4,14,0,A lot,Undergraduate degree,Other,Freeze time,Happy,Teacher,Health
USA,OH,2018,12,Female,16,Right-Handed,154.9,23.5,150,1.5,Car,5,0.681,56,Other,1000,1000,1000,1000,1000,1000,23.5,Same length,8,7,Same length,May,Spring,No,No,Fruit,Water,Mathematics and statistics,7,9,3,Yes - other,Text messaging,45,50,8,5,6,6,4,0,2,9,3,6,5,5,Some,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Health
USA,GA,2018,12,Female,18,Right-Handed,166,24,65,2,Car,10,0.517,69,Skateboarding/Rollerblading,NA,NA,NA,NA,NA,NA,24,Same length,68,72,Ring finger,September,Fall,Yes,No,Pizza/Pasta,Coffee,History,6,10,5,Yes - broadband connection,Text messaging,1000,1100,NA,1,1,8,0,1,20,7,2,12,20,8,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Musician or singer,Health
USA,WI,2018,12,Female,17,Right-Handed,155,24,159,1,Car,7,0.916,40,Baseball/Softball,1000,1000,700,600,100,1000,24,Same length,76,72,NA,September,Fall,Yes,No,Other,Water,Music,7,8,4,Yes - broadband connection,Other,13,9,0,0,3,6,10,0,8,10,25,0,12,2,A lot,Graduate degree,Jazz,Freeze time,Healthy,Relative,"Arts, culture, sports"
USA,NJ,2018,12,Female,17,Right-Handed,178,34,175,1,Car,10,0.81,60,Dancing,1,2,4,3,6,5,NA,Same length,NA,NA,Same length,April,Fall,No,No,Pizza/Pasta,Juice,Music,5,5,6,Yes - other,Cell phone,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,IL,2018,12,Female,18,Right-Handed,156,22,156,2,Walk,5,0.396,54,Other,465,465,1000,1000,1000,1000,10,Left foot,82,82,Same length,February,Fall,No,No,Fruit,Juice,Music,6,10,3,Yes - other,In person,12,10,10,0,3,5,0,0,3,0.5,5,0,20,3,Very little,Graduate degree,Rhythm and blues (R&B),Invisibility,Rich,Doctor or nurse,Education/Youth development
USA,CA,2018,12,Male,17,Right-Handed,180,24.5,176,2,Car,5,0.318,38,Swimming,1000,680,800,640,1000,1000,25,Left foot,80,85,Ring finger,July,Spring,No,No,Rice/Noodle dishes,Water,Science,5,7,4,Yes - broadband connection,Text messaging,40,100,8,2,21,3,20,13,5,5,30,1,8,2,A lot,Graduate degree,Rock and roll,Freeze time,Happy,Friend,Education/Youth development
USA,ID,2018,12,Male,23,Right-Handed,174,26.5,152.4,2,Walk,5,0.346,36,Golf,920,930,936,610,471,856,26.5,Same length,50,50,Ring finger,September,Spring,No,No,Pizza/Pasta,Juice,History,7,9,2,Yes - broadband connection,Text messaging,12,75,0,3,10,40,6,0,5,5,10,4,40,14,A lot,Undergraduate degree,Pop,Telepathy,Happy,Religious figure,"Wildlife, animals"
USA,TX,2018,12,Male,18,Right-Handed,185,27.94,190,2,Car,7,0.308,53,Other,800,800,900,800,300,300,27.94,Same length,80,70,Index finger,July,Spring,Yes,No,Pizza/Pasta,Water,Other,5,5,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",40,60,7,7,2,7,7,0,7,7,7,7,8,7,A lot,Some college,Rap/Hip hop,Telepathy,Happy,Other,"Wildlife, animals"
USA,OH,2018,12,Female,17,Right-Handed,157,22,147,2,Car,30,0.482,37,Gymnastics,856,374,182,1000,417,412,22.3,Left foot,80,70,Index finger,April,Fall,Yes,No,Fruit,Water,Other,7,8,2,Yes - other,Cell phone,5,8,14,2,15,7,0,0,7,9,84,2,20,7,Some,Other,Rhythm and blues (R&B),Invisibility,Happy,Relative,International aid
USA,NJ,2018,12,Female,18,Right-Handed,163,20.5,154,1,Car,3,0.343,38,Other,551,551,551,556,321,326,21,Left foot,75,70,Index finger,June,Fall,Yes,No,Fruit,Water,Mathematics and statistics,7,9,4,Yes - other,Text messaging,130,100,15,3,12,15,5,0,24,20,25,3,3,5,Some,Other,Pop,Fly,Happy,Actor,Education/Youth development
USA,SC,2018,12,Male,17,Ambidextrous,170,25,160,1,Car,10,0.304,48,Baseball/Softball,1000,800,1000,800,500,500,25,Same length,76,76,Same length,August,Spring,Yes,No,Meat,Sports drink,Physical education,7,6,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",500,500,20,5,0,10,10,3,15,15,2,10,7,10,Some,Graduate degree,Country,Telepathy,Happy,Sports person,"Arts, culture, sports"
USA,NC,2018,12,Female,16,Right-Handed,175,29.5,158,2,Walk,1,0.479,30,Swimming,759,481,572,770,674,941,29.5,Same length,7.2,7.5,Ring finger,September,Fall,Yes,No,Rice/Noodle dishes,Water,Science,6.5,12,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",150,250,10,1,40,1,1,3,5,2,6,5,0,4,A lot,Other,Rock and roll,Invisibility,Happy,Relative,Health
USA,CA,2018,12,Male,15,Right-Handed,NA,NA,NA,2,Walk,30,0.733,53,Football (American),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,September,Summer,No,No,No favorite,Water,Physical education,7,9,9,Yes - other,In person,15,30,40,2,3,5,4,1,3,1,1,1,0,5,NA,NA,NA,NA,NA,NA,NA
USA,CA,2018,12,Male,17,Right-Handed,178,24,175,1,Car,25,0.37,41,Baseball/Softball,670,350,850,700,1000,1000,24,Same length,76,79,Ring finger,August,Fall,No,No,Meat,Sports drink,Computers and technology,7,9,4,Yes - broadband connection,Internet chat or instant messaging,25,22,10,1,5,2,12,12,0,3,15,0,0,1,A lot,Graduate degree,Rock and roll,Fly,Happy,Sports person,"Arts, culture, sports"
USA,CA,2018,12,Female,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,NC,2018,12,Male,17,Right-Handed,170,26,167,1,Car,15,0.372,34,Hockey (Ice),30,40,50,70,100,100,26,Same length,25.4,76.2,Ring finger,September,Fall,No,No,Meat,Water,Science,7,10,3,Yes - broadband connection,Text messaging,50,40,4,2,6,2,3,10,20,15,20,5,8,3,Some,Undergraduate degree,Rap/Hip hop,Invisibility,Famous,Sports person,"Wildlife, animals"
